Регион,"в том числе домохозяйства, указавшие, что при проживании не испытывают стесненности","в том числе домохозяйства, указавшие, что при проживании испытывают определенную стесненность","в том числе домохозяйства, указавшие, что при проживании испытывают большую стесненность",Размер общей площади в расчете на члена домохозяйства,Размер жилой площади в расчете на члена домохозяйства,Число жилых комнат в расчете на одно домохозяйство
Российская Федерация,80.7,15.4,3.8,24.2,16.9,2.4
Белгородская область,86.3,11.7,2.0,25.1,17.8,2.6
Брянская область,94.7,4.6,0.6,30.5,24.1,3.2
Владимирская область,81.8,15.8,2.5,24.2,16.1,2.2
Воронежская область,87.0,11.4,1.6,29.0,19.9,2.6
Ивановская область,76.9,19.1,3.9,25.2,18.1,2.4
Калужская область,79.9,16.8,3.3,22.6,15.5,2.2
Костромская область,80.7,15.6,3.7,21.7,14.5,2.2
Курская область,85.0,13.3,1.7,24.4,17.1,2.4
Липецкая область,82.5,13.5,4.0,24.5,16.5,2.5
Московская область,77.8,17.3,4.4,22.3,14.8,2.1
Орловская область,83.4,10.3,6.3,29.2,18.8,2.7
Рязанская область,90.7,7.3,2.0,27.5,19.0,2.4
Смоленская область,86.8,12.4,0.8,25.3,19.4,2.3
Тамбовская область,84.1,13.8,2.2,27.0,19.7,2.5
Тверская область,84.0,12.7,3.2,27.2,17.5,2.2
Тульская область,82.3,13.5,4.2,23.6,16.6,2.3
Ярославская область,75.8,20.5,3.7,23.3,15.8,2.2
город Москва,75.6,18.9,5.3,21.4,13.8,2.0
Республика Карелия,78.4,15.5,6.1,23.2,17.1,2.4
Республика Коми,80.5,14.2,5.3,21.9,15.5,2.3
Архангельская область (кроме Ненецкого автономного округа),83.3,14.5,2.2,24.6,16.9,2.4
Ненецкий автономный округ (Архангельская область),81.0,18.6,0.4,31.5,20.9,2.7
Вологодская область,87.5,9.6,2.9,22.9,16.9,2.2
Калининградская область,80.7,13.4,5.9,23.1,15.6,2.3
Ленинградская область,79.8,15.7,4.5,24.7,17.0,2.1
Мурманская область,83.6,12.7,3.7,23.9,17.7,2.2
Новгородская область,86.3,12.5,1.2,25.6,17.6,2.3
Псковская область,79.2,14.8,6.0,23.0,15.0,2.1
город Санкт-Петербург,82.0,14.2,3.7,25.1,15.7,2.1
Республика Адыгея (Адыгея),67.2,27.4,5.4,27.0,19.6,3.1
Республика Калмыкия,79.3,18.0,2.7,30.7,20.2,3.1
Республика Крым,84.2,10.9,4.9,27.5,19.0,2.6
Краснодарский край,78.4,17.9,3.7,26.9,18.1,2.8
Астраханская область,77.5,19.4,3.1,24.9,19.2,2.3
Волгоградская область,82.7,13.9,3.3,25.6,17.9,2.5
Ростовская область,83.6,12.8,3.5,25.8,18.2,2.8
город Севастополь,73.5,19.7,6.8,21.5,13.7,2.2
Республика Дагестан,73.8,23.3,2.8,29.9,22.5,3.6
Республика Ингушетия,94.4,5.0,0.0,38.2,27.8,4.9
Кабардино-Балкарская Республика,71.0,26.1,3.0,25.8,18.9,3.3
Карачаево-Черкесская Республика,71.0,23.2,5.8,24.3,18.3,2.9
Республика Северная Осетия-Алания,68.8,18.5,12.7,23.7,16.4,3.1
Чеченская Республика,80.4,18.2,1.4,24.6,19.2,4.3
Ставропольский край,82.8,14.1,3.1,26.9,19.0,2.8
Республика Башкортостан,77.4,17.9,4.5,23.3,17.4,2.4
Республика Марий Эл,81.0,13.2,5.8,24.1,16.5,2.4
Республика Мордовия,86.3,9.6,3.8,26.2,20.0,2.7
Республика Татарстан (Татарстан),79.2,17.4,3.4,23.7,16.2,2.5
Удмуртская Республика,83.3,13.3,3.4,20.8,14.8,2.4
Чувашская Республика - Чувашия,72.0,20.0,8.0,20.7,14.2,2.3
Пермский край,84.6,12.3,3.1,22.7,16.0,2.4
Кировская область,85.7,11.1,3.2,22.9,14.9,2.2
Нижегородская область,80.8,16.5,2.7,24.0,17.5,2.3
Оренбургская область,80.2,16.3,3.3,25.9,19.0,2.8
Пензенская область,82.9,12.7,3.9,23.4,16.9,2.5
Самарская область,79.6,16.7,3.7,24.6,16.9,2.4
Саратовская область,81.3,15.0,3.7,23.7,17.8,2.5
Ульяновская область,87.7,11.3,1.0,25.7,17.9,2.4
Курганская область,85.6,10.5,3.9,23.0,16.7,2.4
Свердловская область,81.1,15.2,3.7,22.8,15.8,2.2
Тюменская область (без автономных округов),79.7,15.7,4.5,23.8,18.1,2.5
Ханты-Мансийский автономный округ - Югра (Тюменская область),81.1,15.4,3.5,22.2,13.9,2.1
Ямало-Ненецкий автономный округ (Тюменская область),78.8,15.2,4.5,21.8,15.5,2.1
Челябинская область,78.6,16.5,4.9,23.6,16.0,2.2
Республика Алтай,86.5,9.3,4.2,19.5,14.4,2.4
Республика Тыва,72.5,19.8,7.7,18.8,13.6,2.8
Республика Хакасия,71.2,17.0,11.8,25.0,17.9,2.6
Алтайский край,83.2,13.4,3.3,25.9,18.0,2.4
Красноярский край,83.3,12.9,3.8,22.7,16.6,2.3
Иркутская область,79.8,16.0,4.1,21.3,16.3,2.4
Кемеровская область - Кузбасс,85.4,11.5,3.1,23.3,16.3,2.4
Новосибирская область,78.6,16.9,4.5,23.2,16.3,2.3
Омская область,84.6,12.8,2.6,23.4,16.9,2.5
Томская область,88.1,10.5,1.4,25.7,16.9,2.3
Республика Бурятия,77.3,17.6,5.0,22.7,17.2,2.4
Республика Саха (Якутия),82.1,14.7,3.2,23.5,16.5,2.2
Забайкальский край,81.9,13.0,5.1,23.1,17.1,2.4
Камчатский край,73.2,21.7,5.1,23.9,15.9,2.2
Приморский край,79.0,17.9,3.1,22.4,15.7,2.2
Хабаровский край,78.5,15.5,6.0,23.3,15.4,2.2
Амурская область,77.3,16.8,5.9,23.2,17.3,2.3
Магаданская область,80.3,15.7,4.1,23.7,13.8,1.9
Сахалинская область,84.3,13.2,2.5,22.5,17.2,2.1
Еврейская автономная область,82.2,13.1,4.6,20.1,13.8,2.2
Чукотский автономный округ,79.1,17.7,3.2,22.5,14.1,1.7
