Регион,"из них домохозяйства, собирающиеся улучшить свои жилищные условия",из них указавшие: на стесненность проживания,из них указавшие: на плохое или очень плохое состояние жилого помещения,из них указавшие: на плохое состояние или очень плохое состояние жилого помещения и на стесненность проживания,"домохозяйства, не собирающиеся улучшать свои жилищные условия"
Российская Федерация,13.9,6.3,1.2,0.6,85.2
Белгородская область,12.0,4.2,0.7,0.4,88.0
Брянская область,5.7,0.8,0.1,0.0,94.3
Владимирская область,9.0,3.8,0.2,0.0,91.0
Воронежская область,14.2,4.2,0.9,0.1,85.5
Ивановская область,13.4,5.5,1.5,0.9,85.0
Калужская область,4.3,2.5,0.2,0.0,95.7
Костромская область,7.8,4.2,1.5,0.9,90.8
Курская область,16.6,5.7,0.6,0.0,83.4
Липецкая область,10.3,3.1,0.2,0.0,89.7
Московская область,11.0,6.1,1.0,0.5,86.5
Орловская область,14.6,5.8,1.4,0.3,85.4
Рязанская область,13.8,3.0,0.3,0.1,86.1
Смоленская область,9.5,3.1,2.8,1.0,90.3
Тамбовская область,15.3,6.3,0.6,0.3,80.4
Тверская область,14.3,5.1,2.2,0.3,85.7
Тульская область,4.7,2.3,0.8,0.5,95.0
Ярославская область,5.7,3.7,0.5,0.3,93.6
город Москва,12.8,8.1,0.5,0.2,83.4
Республика Карелия,25.3,9.0,3.4,1.7,74.3
Республика Коми,27.8,8.1,8.8,3.6,71.5
Архангельская область (кроме Ненецкого автономного округа),13.4,5.9,1.4,0.7,86.6
Ненецкий автономный округ (Архангельская область),21.7,12.8,5.9,4.1,75.7
Вологодская область,13.6,3.4,1.1,0.3,86.4
Калининградская область,12.4,5.1,1.9,1.5,87.6
Ленинградская область,12.2,7.2,3.0,1.6,87.5
Мурманская область,18.3,6.8,2.4,0.6,80.8
Новгородская область,12.7,3.9,0.4,0.0,86.3
Псковская область,14.9,6.5,0.1,0.0,85.1
город Санкт-Петербург,10.7,5.8,0.1,0.1,88.1
Республика Адыгея (Адыгея),22.1,11.4,3.5,3.0,77.9
Республика Калмыкия,7.9,6.5,0.0,0.0,92.1
Республика Крым,10.0,2.8,0.7,0.4,90.0
Краснодарский край,15.1,6.7,1.2,1.0,84.5
Астраханская область,16.4,5.3,0.8,0.2,81.8
Волгоградская область,12.1,6.2,1.0,0.6,87.4
Ростовская область,13.8,6.7,0.8,0.5,86.2
город Севастополь,6.8,3.9,1.2,1.2,93.2
Республика Дагестан,16.0,7.2,0.8,0.7,77.6
Республика Ингушетия,4.6,0.4,0.0,0.0,95.4
Кабардино-Балкарская Республика,13.0,11.3,0.5,0.5,87.0
Карачаево-Черкесская Республика,25.1,14.0,2.6,1.7,74.9
Республика Северная Осетия-Алания,11.2,4.8,2.6,2.2,88.8
Чеченская Республика,19.1,9.6,0.6,0.4,80.3
Ставропольский край,16.2,7.5,0.9,0.5,83.7
Республика Башкортостан,16.8,7.9,0.5,0.3,82.0
Республика Марий Эл,19.7,9.0,1.8,1.0,80.3
Республика Мордовия,6.1,3.3,0.1,0.0,93.9
Республика Татарстан (Татарстан),14.5,7.4,0.7,0.6,85.4
Удмуртская Республика,13.7,6.0,1.9,0.6,86.3
Чувашская Республика - Чувашия,27.2,14.2,1.2,0.3,72.8
Пермский край,15.1,5.3,1.5,0.4,84.9
Кировская область,16.2,3.3,2.5,0.3,83.6
Нижегородская область,8.8,3.9,0.5,0.2,91.2
Оренбургская область,13.4,4.6,1.8,1.0,86.6
Пензенская область,8.3,2.3,0.2,0.1,88.7
Самарская область,14.2,7.0,0.8,0.3,85.7
Саратовская область,13.3,6.5,2.2,1.7,86.3
Ульяновская область,13.2,7.9,1.0,0.5,86.8
Курганская область,26.1,5.7,3.2,0.9,73.9
Свердловская область,15.1,7.7,0.9,0.5,84.1
Тюменская область (без автономных округов),21.9,7.6,3.3,1.0,78.1
Ханты-Мансийский автономный округ - Югра (Тюменская область),17.3,7.3,2.8,0.6,82.7
Ямало-Ненецкий автономный округ (Тюменская область),17.7,5.4,1.7,0.8,77.6
Челябинская область,15.0,8.5,0.8,0.5,84.7
Республика Алтай,33.4,9.1,4.8,1.8,66.6
Республика Тыва,38.4,18.1,8.5,7.3,61.6
Республика Хакасия,10.5,5.0,1.0,1.0,89.5
Алтайский край,14.9,6.3,0.3,0.2,85.1
Красноярский край,17.7,7.4,1.8,0.8,82.3
Иркутская область,17.2,7.8,1.6,0.9,82.6
Кемеровская область - Кузбасс,11.3,2.7,1.0,0.1,87.7
Новосибирская область,12.0,5.7,1.8,1.1,87.8
Омская область,15.1,5.6,0.8,0.3,84.9
Томская область,12.6,3.9,1.9,0.4,87.4
Республика Бурятия,26.4,11.2,3.2,2.6,73.6
Республика Саха (Якутия),25.8,7.6,5.2,1.1,74.0
Забайкальский край,27.9,6.3,1.8,0.9,71.0
Камчатский край,22.0,11.7,3.0,2.0,77.9
Приморский край,12.7,4.7,2.4,1.4,86.7
Хабаровский край,14.0,9.5,1.2,0.2,85.1
Амурская область,14.7,6.1,1.3,0.3,84.6
Магаданская область,16.4,11.4,0.2,0.0,83.6
Сахалинская область,12.6,4.2,0.6,0.0,87.4
Еврейская автономная область,20.9,3.5,0.9,0.5,79.1
Чукотский автономный округ,14.0,10.3,1.9,1.7,80.6
