,Дети в возрасте до 16 лет,Население старше трудоспособного возраста
Российская Федерация,39.599999999999994,6.55
Белгородская область,44.099999999999994,12.350000000000001
Брянская область,41.599999999999994,3.35
Владимирская область,41.849999999999994,8.45
Воронежская область,35.6,6.95
Ивановская область,32.2,10.2
Калужская область,41.15,6.75
Костромская область,43.8,4.4
Курская область,35.599999999999994,7.85
Липецкая область,35.7,8.6
Московская область,40.599999999999994,6.7
Орловская область,37.45,6.300000000000001
Рязанская область,35.6,7.7
Смоленская область,32.55,9.95
Тамбовская область,32.45,4.75
Тверская область,41.099999999999994,5.95
Тульская область,38.95,2.95
Ярославская область,39.5,5.4
город Москва,40.0,7.3
Республика Карелия,36.849999999999994,6.75
Республика Коми,36.4,8.05
Ненецкий автономный округ (Архангельская область),50.5,3.25
Архангельская область (кроме Ненецкого автономного округа),38.099999999999994,6.85
Вологодская область,38.0,8.350000000000001
Калининградская область,35.349999999999994,12.75
Ленинградская область,25.25,11.7
Мурманская область,40.4,4.35
Новгородская область,27.2,11.5
Псковская область,36.1,4.45
город Санкт-Петербург,26.15,4.9
Республика Адыгея (Адыгея),39.0,11.1
Республика Калмыкия,37.15,3.75
Республика Крым,43.55,5.9
Краснодарский край,41.5,10.0
Астраханская область,37.6,4.7
Волгоградская область,38.1,8.1
Ростовская область,39.1,4.15
город Севастополь,39.6,6.4
Республика Дагестан,39.599999999999994,6.6
Республика Ингушетия,41.9,7.05
Кабардино-Балкарская Республика,33.2,13.8
Карачаево-Черкесская Республика,36.900000000000006,9.45
Республика Северная Осетия-Алания,35.0,9.8
Чеченская Республика,46.3,5.9
Ставропольский край,36.8,5.3
Республика Башкортостан,38.7,5.75
Республика Марий Эл,32.55,5.35
Республика Мордовия,36.65,5.2
Республика Татарстан (Татарстан),39.75,9.75
Удмуртская Республика,38.4,7.3999999999999995
Чувашская Республика - Чувашия,36.85,7.35
Пермский край,39.85,5.1
Кировская область,36.75,6.45
Нижегородская область,39.400000000000006,8.25
Оренбургская область,42.3,6.6
Пензенская область,36.6,8.850000000000001
Самарская область,40.55,3.35
Саратовская область,38.8,7.15
Ульяновская область,35.45,5.35
Курганская область,38.55,4.55
Свердловская область,41.05,4.7
Ханты-Мансийский автономный округ - Югра (Тюменская область),42.65,5.550000000000001
Ямало-Ненецкий автономный округ (Тюменская область),42.849999999999994,1.1
Тюменская область (без автономных округов),52.35,1.4000000000000001
Челябинская область,42.75,3.0
Республика Алтай,44.400000000000006,4.75
Республика Тыва,45.25,4.800000000000001
Республика Хакасия,38.8,5.15
Алтайский край,40.05,5.75
Красноярский край,39.5,6.4
Иркутская область,38.3,4.95
Кемеровская область - Кузбасс,44.5,4.85
Новосибирская область,33.35,10.15
Омская область,42.65,5.65
Томская область,39.2,3.75
Республика Бурятия,44.25,6.2
Забайкальский край,38.95,8.2
Республика Саха (Якутия),44.95,4.85
Камчатский край,38.6,3.0500000000000003
Приморский край,37.8,5.15
Хабаровский край,37.099999999999994,6.0
Амурская область,40.25,5.3
Магаданская область,31.450000000000003,13.15
Сахалинская область,34.65,5.35
Еврейская автономная область,34.85,8.65
Чукотский автономный округ,48.95,1.35
